suposicion_actual,bombas,misiles,numero_objetivo,ajuste_necesario
345,2,0,320,-25
760,1,0,829,69
391,0,3,805,414
197,2,0,170,-27
976,0,6,213,-763
652,1,0,743,91
115,0,2,301,186
761,0,4,219,-542
315,1,0,393,78
308,0,4,772,464
990,1,0,912,-78
813,0,1,675,-138
602,0,3,190,-412
486,0,3,173,-313
61,0,7,982,921
961,2,0,973,12
591,0,2,878,287
434,0,3,69,-365
460,2,0,490,30
539,0,3,116,-423
288,1,0,365,77
744,0,1,635,-109
335,2,0,310,-25
611,0,3,995,384
105,0,4,656,551
104,0,1,231,127
164,1,0,221,57
929,0,5,277,-652
385,0,4,941,556
650,3,0,654,4
738,0,5,54,-684
160,0,5,867,707
676,0,2,421,-255
80,0,6,915,835
602,0,2,313,-289
430,0,3,9,-421
561,0,3,893,332
173,0,3,491,318
931,0,3,539,-392
559,0,1,672,113
906,0,1,802,-104
456,0,2,176,-280
644,0,5,26,-618
65,0,7,965,900
805,0,2,985,180
454,0,2,687,233
928,1,0,849,-79
943,0,5,226,-717
165,0,2,367,202
567,2,0,583,16
796,0,4,200,-596
101,0,4,649,548
180,1,0,88,-92
680,0,2,441,-239
507,0,3,868,361
788,0,3,450,-338
818,0,5,99,-719
654,0,2,838,184
713,0,5,73,-640
521,0,2,680,159
438,0,3,12,-426
291,1,0,349,58
904,2,0,929,25
207,0,4,743,536
390,0,4,943,553
282,0,2,37,-245
92,0,4,658,566
214,0,3,556,342
291,1,0,223,-68
289,0,5,968,679
710,0,3,283,-427
552,0,1,657,105
2,0,2,166,164
588,0,3,233,-355
842,0,3,487,-355
147,1,0,241,94
219,0,4,676,457
468,0,3,154,-314
744,0,5,100,-644
586,0,1,701,115
74,1,0,159,85
486,0,3,103,-383
123,0,6,888,765
99,0,3,540,441
661,0,3,266,-395
862,0,4,373,-489
153,2,0,112,-41
250,0,1,104,-146
560,2,0,584,24
154,0,5,866,712
978,1,0,904,-74
981,0,2,751,-230
724,0,2,992,268
992,0,2,795,-197
922,0,2,715,-207
567,0,2,364,-203
158,0,3,538,380
374,0,3,690,316
165,0,3,569,404
562,2,0,548,-14
945,0,5,278,-667
809,0,4,321,-488
624,0,4,103,-521
120,0,3,529,409
194,2,0,171,-23
837,0,1,721,-116
559,2,0,534,-25
112,2,0,77,-35
480,0,2,307,-173
359,2,0,336,-23
962,0,6,160,-802
838,0,2,618,-220
0,0,6,795,795
278,0,2,7,-271
423,0,3,846,423
627,0,3,221,-406
880,0,2,585,-295
208,0,3,642,434
117,0,6,898,781
866,0,4,412,-454
741,0,5,54,-687
479,0,3,75,-404
984,0,3,578,-406
954,0,5,237,-717
810,0,5,207,-603
787,0,5,90,-697
40,0,2,264,224
921,0,6,38,-883
790,0,1,911,121
584,0,1,692,108
893,2,0,858,-35
915,0,6,102,-813
589,0,1,726,137
892,0,4,336,-556
738,0,2,999,261
855,0,3,472,-383
917,0,2,718,-199
205,0,5,880,675
474,0,1,579,105
490,0,3,850,360
927,0,3,491,-436
758,0,2,937,179
146,0,3,532,386
555,0,2,384,-171
249,0,4,790,541
270,2,0,244,-26
634,0,1,509,-125
959,0,2,718,-241
346,0,2,560,214
268,2,0,232,-36
636,0,3,968,332
65,2,0,29,-36
308,1,0,238,-70
397,0,2,556,159
650,0,2,927,277
759,0,3,397,-362
550,0,2,298,-252
434,2,0,398,-36
223,0,3,525,302
59,0,6,878,819
8,0,2,216,208
708,1,0,614,-94
204,0,1,353,149
745,0,4,259,-486
563,0,3,204,-359
379,0,2,613,234
647,0,3,219,-428
806,0,3,383,-423
967,0,6,80,-887
259,0,3,650,391
510,0,2,769,259
396,0,1,286,-110
597,0,2,408,-189
129,0,4,665,536
614,0,2,376,-238
293,0,2,469,176
438,1,0,364,-74
624,0,2,352,-272
473,0,2,310,-163
575,0,3,888,313
268,2,0,282,14
103,0,5,757,654
217,0,3,569,352
619,0,3,319,-300
396,0,2,655,259
317,0,4,838,521
356,0,3,704,348
167,0,3,517,350
168,0,1,273,105
352,0,2,618,266
846,0,6,90,-756
138,3,0,145,7
361,0,4,838,477
688,0,3,339,-349
325,0,2,129,-196
948,1,0,880,-68
234,0,2,516,282
801,0,2,623,-178
405,0,4,881,476
949,0,7,28,-921
968,0,1,851,-117
640,0,2,370,-270
375,0,4,970,595
779,2,0,762,-17
649,0,2,381,-268
86,0,4,636,550
390,0,2,566,176
185,0,4,748,563
864,0,6,74,-790
422,0,3,91,-331
622,0,2,830,208
290,0,2,444,154
57,0,5,736,679
630,0,3,215,-415
713,0,3,412,-301
504,0,2,223,-281
139,3,0,135,-4
582,2,0,561,-21
450,0,3,807,357
805,0,2,976,171
826,0,5,113,-713
843,1,0,935,92
818,0,2,993,175
312,0,3,628,316
801,0,2,604,-197
394,0,4,993,599
46,0,6,879,833
508,0,1,400,-108
781,0,6,10,-771
453,2,0,424,-29
618,0,3,228,-390
313,0,5,915,602
317,0,4,829,512
723,0,2,951,228
946,0,2,727,-219
679,0,4,114,-565
326,0,4,887,561
778,2,0,765,-13
482,0,4,941,459
572,0,4,63,-509
571,0,3,150,-421
107,2,0,127,20
936,0,3,635,-301
952,0,3,581,-371
26,0,2,192,166
1000,0,1,859,-141
271,2,0,318,47
656,0,3,267,-389
762,2,0,751,-11
48,0,4,548,500
267,0,2,420,153
854,0,3,405,-449
158,0,4,711,553
678,0,4,194,-484
622,0,3,186,-436
205,0,4,662,457
585,0,3,151,-434
260,0,2,477,217
699,2,0,736,37
101,0,4,564,463
993,0,2,722,-271
361,0,1,504,143
100,0,3,472,372
417,0,3,103,-314
358,0,4,941,583
372,2,0,326,-46
649,2,0,673,24
262,0,3,646,384
94,0,4,599,505
739,0,5,83,-656
484,0,2,688,204
173,3,0,166,-7
169,0,5,875,706
686,0,1,813,127
124,3,0,125,1
269,2,0,220,-49
550,0,3,851,301
95,1,0,151,56
733,0,3,332,-401
721,2,0,752,31
339,2,0,354,15
690,1,0,752,62
667,0,3,361,-306
62,0,6,928,866
302,0,2,488,186
895,0,2,725,-170
965,0,6,166,-799
118,0,2,278,160
17,0,4,589,572
868,0,5,232,-636
975,0,1,872,-103
404,2,0,430,26
177,0,1,52,-125
933,0,6,103,-830
292,0,3,665,373
112,0,5,734,622
19,0,3,332,313
298,0,2,558,260
372,2,0,335,-37
966,0,4,430,-536
537,0,4,28,-509
347,0,3,39,-308
499,0,2,258,-241
730,0,5,71,-659
371,1,0,309,-62
970,0,3,572,-398
141,0,4,711,570
722,0,1,601,-121
674,1,0,601,-73
486,2,0,511,25
58,0,5,684,626
388,0,2,212,-176
670,0,4,190,-480
48,0,7,982,934
994,0,5,307,-687
182,0,2,25,-157
240,0,3,563,323
300,1,0,398,98
981,0,7,29,-952
423,0,3,104,-319
360,0,2,179,-181
551,1,0,644,93
816,1,0,742,-74
873,0,2,636,-237
406,0,3,82,-324
410,0,2,709,299
392,0,1,516,124
797,0,3,444,-353
605,0,3,239,-366
562,0,2,750,188
660,0,1,769,109
393,2,0,424,31
922,1,0,869,-53
9,0,2,176,167
266,1,0,324,58
19,0,7,976,957
490,0,3,799,309
275,0,2,37,-238
453,1,0,532,79
808,0,5,139,-669
244,0,2,80,-164
244,0,3,627,383
906,0,3,588,-318
585,0,2,324,-261
960,2,0,992,32
335,0,2,550,215
964,0,5,219,-745
210,0,5,934,724
159,0,6,942,783
144,0,5,817,673
617,0,3,243,-374
734,0,2,937,203
61,0,3,436,375
489,0,3,159,-330
520,0,2,806,286
114,0,2,289,175
653,0,2,372,-281
425,0,4,957,532
907,0,6,34,-873
511,3,0,512,1
115,0,2,334,219
248,0,2,437,189
650,1,0,569,-81
264,0,5,958,694
572,0,2,870,298
946,0,6,175,-771
889,0,5,259,-630
337,0,2,506,169
343,0,1,481,138
427,0,4,986,559
132,0,6,895,763
329,0,1,473,144
656,2,0,644,-12
675,0,2,489,-186
154,0,4,736,582
535,0,2,262,-273
514,0,3,898,384
667,0,3,267,-400
695,0,4,141,-554
24,0,4,616,592
956,0,2,798,-158
45,0,4,550,505
400,0,2,631,231
793,0,1,927,134
55,0,7,979,924
552,0,3,109,-443
41,0,3,429,388
66,0,4,560,494
67,0,4,579,512
58,0,2,353,295
850,0,1,722,-128
406,0,3,19,-387
720,0,2,925,205
864,0,6,107,-757
208,0,4,768,560
51,0,3,478,427
504,0,1,395,-109
452,0,2,681,229
678,0,3,259,-419
139,0,4,669,530
561,2,0,593,32
522,2,0,482,-40
480,0,1,361,-119
509,0,3,898,389
642,0,4,70,-572
579,0,3,136,-443
891,0,5,220,-671
938,0,5,305,-633
852,0,2,664,-188
290,0,2,582,292
600,0,2,428,-172
351,0,5,966,615
681,0,3,336,-345
44,0,5,677,633
549,0,3,996,447
393,0,2,210,-183
719,0,2,944,225
956,1,0,880,-76
743,0,5,101,-642
164,2,0,175,11
623,2,0,640,17
398,0,1,270,-128
751,0,4,232,-519
442,0,2,186,-256
551,0,2,333,-218
505,0,4,33,-472
733,0,4,144,-589
163,0,2,354,191
56,0,3,470,414
947,0,2,657,-290
352,0,3,782,430
134,2,0,93,-41
589,0,3,245,-344
476,0,3,64,-412
754,0,1,864,110
410,0,4,987,577
333,0,4,891,558
177,0,6,973,796
584,0,2,799,215
203,2,0,170,-33
350,2,0,324,-26
360,0,3,4,-356
865,0,4,328,-537
422,0,2,672,250
55,0,3,431,376
283,1,0,377,94
367,0,1,486,119
391,0,2,661,270
960,0,3,514,-446
962,3,0,961,-1
956,3,0,947,-9
777,0,1,629,-148
575,0,3,943,368
405,0,3,771,366
525,0,2,233,-292
218,0,6,979,761
132,0,3,554,422
881,0,3,507,-374
749,0,3,302,-447
536,0,3,862,326
364,0,2,609,245
715,0,5,45,-670
407,0,3,853,446
687,0,4,109,-578
796,2,0,783,-13
920,0,3,581,-339
417,1,0,334,-83
706,2,0,724,18
834,0,2,622,-212
184,0,5,892,708
907,0,1,770,-137
142,0,4,599,457
839,1,0,783,-56
479,0,4,945,466
316,2,0,343,27
282,0,2,126,-156
624,0,2,923,299
856,0,3,502,-354
558,0,3,230,-328
311,0,3,751,440
225,3,0,231,6
518,2,0,479,-39
610,0,4,108,-502
680,2,0,662,-18
747,0,5,34,-713
736,0,1,620,-116
876,0,5,131,-745
681,0,2,964,283
96,0,2,379,283
547,0,3,945,398
363,0,2,553,190
815,0,5,202,-613
279,0,2,60,-219
823,0,4,258,-565
839,0,6,29,-810
68,2,0,111,43
229,0,2,60,-169
919,2,0,950,31
618,0,4,55,-563
489,0,3,896,407
529,0,2,353,-176
72,0,3,418,346
545,3,0,544,-1
922,0,5,252,-670
184,0,4,686,502
864,0,4,361,-503
76,0,6,882,806
769,0,5,50,-719
219,0,2,425,206
784,0,3,438,-346
593,1,0,536,-57
612,0,3,994,382
975,3,0,975,0
356,0,3,9,-347
158,0,4,634,476
972,0,5,238,-734
721,0,3,402,-319
533,0,4,61,-472
521,0,3,846,325
875,3,0,869,-6
771,0,3,412,-359
340,0,2,130,-210
208,0,2,36,-172
21,0,2,262,241
491,0,3,145,-346
370,0,2,636,266
193,3,0,187,-6
384,2,0,374,-10
938,0,6,48,-890
559,1,0,503,-56
553,0,1,447,-106
920,0,4,470,-450
905,0,5,254,-651
607,0,2,853,246
571,0,2,334,-237
680,0,4,174,-506
433,0,2,276,-157
975,0,5,329,-646
540,0,3,117,-423
227,1,0,287,60
426,2,0,440,14
775,0,2,540,-235
812,1,0,884,72
572,0,1,719,147
705,1,0,613,-92
118,1,0,187,69
990,0,3,677,-313
852,0,5,238,-614
691,0,1,569,-122
788,0,2,970,182
202,0,1,89,-113
247,0,5,910,663
531,1,0,612,81
347,0,2,165,-182
880,0,4,397,-483
804,0,1,917,113
72,0,5,694,622
558,0,2,402,-156
916,0,5,226,-690
480,0,3,140,-340
236,0,6,997,761
699,0,2,454,-245
416,0,3,70,-346
32,0,4,601,569
730,0,3,409,-321
147,0,2,379,232
580,0,1,466,-114
481,0,2,257,-224
337,2,0,383,46
532,0,4,995,463
762,0,3,367,-395
661,0,1,769,108
103,0,3,506,403
192,1,0,279,87
85,0,2,267,182
394,0,1,274,-120
790,0,5,173,-617
501,0,3,929,428
180,2,0,203,23
294,0,2,541,247
172,0,3,580,408
372,0,2,655,283
352,0,3,17,-335
781,0,6,1,-780
570,0,0,670,100
361,1,0,423,62
121,0,1,264,143
189,1,0,134,-55
557,0,2,735,178
475,0,4,953,478
962,0,2,808,-154
516,0,4,48,-468
903,1,0,817,-86
8,0,3,311,303
430,1,0,348,-82
32,0,6,925,893
878,0,3,478,-400
243,1,0,153,-90
362,0,2,152,-210
248,0,2,76,-172
869,0,3,444,-425
797,0,5,191,-606
697,0,4,205,-492
473,0,3,834,361
913,0,1,797,-116
556,1,0,613,57
727,0,5,36,-691
801,0,3,432,-369
704,0,2,880,176
402,0,3,765,363
222,0,1,85,-137
889,0,5,151,-738
884,0,6,6,-878
848,0,3,402,-446
888,0,6,137,-751
877,1,0,937,60
857,0,2,600,-257
746,0,2,957,211
801,0,3,379,-422
531,2,0,544,13
813,0,4,232,-581
133,0,2,286,153
27,0,7,929,902
727,2,0,689,-38
864,0,5,211,-653
651,0,2,869,218
761,0,1,643,-118
689,0,4,199,-490
85,0,2,376,291
584,0,3,889,305
877,2,0,860,-17
443,0,3,773,330
635,1,0,711,76
366,0,2,526,160
249,0,2,453,204
834,2,0,806,-28
136,1,0,225,89
988,0,6,102,-886
390,3,0,387,-3
22,0,7,966,944
157,0,1,26,-131
557,0,3,913,356
965,0,1,835,-130
990,0,5,263,-727
937,0,4,362,-575
185,0,3,582,397
745,0,5,3,-742
628,0,4,100,-528
500,0,4,966,466
90,0,6,842,752
531,0,3,867,336
140,0,3,544,404
244,0,2,85,-159
351,2,0,339,-12
408,0,2,189,-219
369,1,0,461,92
751,0,2,968,217
581,2,0,539,-42
566,0,2,282,-284
994,2,0,953,-41
923,0,6,165,-758
360,0,4,925,565
810,0,5,116,-694
973,0,4,500,-473
84,0,2,307,223
916,0,7,12,-904
907,0,2,752,-155
432,0,3,783,351
732,0,5,112,-620
883,1,0,812,-71
852,0,2,626,-226
365,0,2,519,154
733,0,2,541,-192
776,1,0,858,82
592,0,2,313,-279
118,0,4,699,581
841,0,2,677,-164
416,0,2,647,231
37,0,5,698,661
69,1,0,151,82
364,0,2,210,-154
757,0,5,152,-605
620,0,4,54,-566
671,0,2,401,-270
23,0,3,462,439
411,2,0,439,28
964,0,4,402,-562
588,0,4,115,-473
149,0,5,892,743
862,1,0,775,-87
900,0,3,513,-387
178,0,5,898,720
602,0,3,930,328
643,0,4,108,-535
639,0,4,97,-542
91,1,0,27,-64
226,0,4,682,456
49,0,2,305,256
806,0,3,424,-382
655,0,2,809,154
300,0,2,582,282
854,0,2,678,-176
892,0,2,699,-193
519,0,2,807,288
974,0,7,58,-916
244,0,3,601,357
83,2,0,58,-25
828,0,2,537,-291
11,0,7,924,913
888,1,0,804,-84
24,0,6,813,789
625,2,0,653,28
43,0,4,621,578
966,0,6,68,-898
23,0,5,725,702
270,0,1,136,-134
166,0,2,423,257
585,0,4,33,-552
851,0,3,473,-378
958,0,4,401,-557
580,0,2,776,196
12,0,5,698,686
829,0,5,127,-702
12,0,6,859,847
731,0,5,65,-666
200,0,3,576,376
119,0,2,401,282
340,0,0,240,-100
184,1,0,263,79
329,0,4,887,558
110,2,0,84,-26
325,0,4,812,487
602,0,2,820,218
427,0,2,242,-185
960,0,2,665,-295
24,1,0,79,55
805,0,3,414,-391
252,0,1,388,136
621,0,3,281,-340
26,0,6,822,796
287,0,1,141,-146
280,1,0,375,95
667,0,4,209,-458
846,0,2,588,-258
205,2,0,189,-16
844,0,4,320,-524
393,0,4,938,545
245,0,4,717,472
501,1,0,600,99
387,1,0,483,96
688,0,2,461,-227
352,1,0,432,80
206,0,2,395,189
536,0,2,287,-249
694,0,2,490,-204
577,2,0,619,42
726,0,5,61,-665
950,0,6,146,-804
900,1,0,841,-59
252,0,4,843,591
142,0,4,715,573
993,0,4,523,-470
550,0,2,365,-185
343,0,2,105,-238
889,0,2,613,-276
692,0,1,572,-120
528,0,3,221,-307
913,1,0,986,73
885,0,6,26,-859
218,0,5,945,727
365,0,4,846,481
307,0,2,87,-220
155,0,2,448,293
486,0,2,334,-152
86,0,1,205,119
835,0,1,974,139
435,0,2,226,-209
157,0,1,14,-143
655,0,4,189,-466
557,0,2,766,209
759,0,2,957,198
268,0,3,610,342
80,0,2,267,187
415,0,2,152,-263
333,0,3,689,356
212,0,2,394,182
970,0,3,605,-365
665,0,3,361,-304
192,0,2,42,-150
289,0,3,723,434
263,0,3,605,342
290,1,0,224,-66
420,0,2,263,-157
490,0,3,849,359
232,0,2,405,173
872,0,2,635,-237
970,0,6,81,-889
606,1,0,538,-68
376,0,2,105,-271
871,1,0,934,63
992,0,3,610,-382
813,0,3,435,-378
231,0,1,127,-104
388,1,0,477,89
386,1,0,315,-71
70,0,7,992,922
276,0,2,459,183
641,0,2,422,-219
120,1,0,47,-73
471,0,3,784,313
586,0,3,159,-427
647,1,0,588,-59
278,0,5,965,687
671,2,0,709,38
985,0,2,818,-167
912,0,4,336,-576
802,0,5,192,-610
137,1,0,71,-66
865,1,0,939,74
288,0,4,805,517
632,0,4,66,-566
851,0,5,118,-733
758,0,1,613,-145
140,0,6,890,750
146,0,2,432,286
720,0,4,162,-558
140,0,3,442,302
807,0,3,409,-398
100,2,0,88,-12
786,0,5,183,-603
337,0,4,864,527
965,3,0,971,6
603,0,2,422,-181
949,0,2,655,-294
729,0,2,569,-160
71,2,0,90,19
992,0,3,625,-367
929,0,4,445,-484
373,0,2,174,-199
934,1,0,843,-91
789,0,3,485,-304
904,0,3,558,-346
553,0,2,261,-292
971,0,6,174,-797
709,0,2,989,280
238,2,0,275,37
623,3,0,621,-2
907,0,7,5,-902
346,2,0,321,-25
765,2,0,800,35
876,0,5,161,-715
665,0,1,808,143
874,0,5,240,-634
660,1,0,573,-87
845,0,4,289,-556
174,0,1,49,-125
284,0,2,520,236
489,0,4,21,-468
223,0,2,29,-194
529,2,0,492,-37
516,2,0,555,39
718,2,0,693,-25
30,1,0,85,55
718,0,2,925,207
161,0,5,852,691
306,0,2,557,251
643,0,2,902,259
566,0,2,757,191
375,0,1,227,-148
627,2,0,666,39
727,0,2,574,-153
421,0,3,792,371
722,0,4,174,-548
726,0,4,142,-584
117,0,4,674,557
961,0,1,843,-118
216,0,2,470,254
96,0,1,230,134
802,0,0,902,100
252,0,2,431,179
253,0,3,591,338
481,0,1,366,-115
800,0,2,961,161
853,2,0,840,-13
26,0,4,598,572
279,0,2,30,-249
469,0,3,67,-402
710,0,3,379,-331
834,0,3,440,-394
469,0,4,962,493
775,0,1,652,-123
885,0,1,757,-128
245,0,2,412,167
822,0,2,556,-266
498,0,2,309,-189
316,0,2,72,-244
347,0,1,225,-122
187,0,2,374,187
228,0,5,975,747
526,0,4,30,-496
728,0,1,619,-109
109,1,0,186,77
623,0,4,109,-514
749,2,0,707,-42
908,0,3,471,-437
789,1,0,861,72
543,0,2,772,229
908,0,4,441,-467
189,1,0,115,-74
960,0,3,533,-427
670,1,0,585,-85
501,0,2,654,153
963,0,2,813,-150
406,2,0,392,-14
136,0,4,633,497
274,0,4,844,570
888,0,5,250,-638
578,0,4,79,-499
74,0,7,994,920
725,0,1,870,145
253,1,0,334,81
43,0,4,560,517
905,0,6,99,-806
224,2,0,194,-30
957,0,1,849,-108
583,1,0,640,57
390,0,2,144,-246
864,0,4,414,-450
231,0,5,953,722
549,0,3,237,-312
97,0,5,797,700
885,0,5,224,-661
838,0,5,214,-624
893,0,4,377,-516
692,0,2,516,-176
594,3,0,586,-8
496,0,2,673,177
320,0,3,746,426
212,1,0,122,-90
304,0,2,60,-244
464,0,1,588,124
562,0,3,973,411
339,0,2,554,215
39,0,4,620,581
248,0,1,384,136
968,0,2,793,-175
409,0,2,590,181
365,0,2,594,229
137,0,5,845,708
473,0,2,316,-157
921,0,2,729,-192
302,0,3,666,364
86,1,0,26,-60
707,0,2,876,169
847,0,2,673,-174
329,0,4,841,512
291,0,2,505,214
629,0,2,838,209
761,2,0,784,23
976,0,6,114,-862
9,0,2,251,242
384,0,1,247,-137
528,0,4,55,-473
6,0,6,891,885
97,0,5,733,636
617,2,0,643,26
201,2,0,227,26
858,3,0,851,-7
17,0,5,688,671
29,0,3,445,416
629,0,2,883,254
938,0,6,125,-813
929,0,4,342,-587
629,0,2,452,-177
23,0,4,537,514
153,0,4,683,530
784,0,5,108,-676
503,0,3,951,448
700,0,2,466,-234
172,0,5,918,746
73,0,5,731,658
748,1,0,663,-85
909,0,2,723,-186
837,0,3,412,-425
677,3,0,668,-9
709,0,2,942,233
641,0,2,940,299
792,0,1,643,-149
431,2,0,411,-20
42,0,3,382,340
776,0,1,883,107
125,0,2,397,272
944,0,4,360,-584
984,0,3,674,-310
981,0,5,262,-719
299,1,0,367,68
338,1,0,421,83
180,0,1,58,-122
660,0,2,886,226
90,0,5,802,712
455,0,2,709,254
818,0,6,51,-767
143,0,3,575,432
873,0,5,156,-717
802,0,1,946,144
142,0,1,246,104
774,0,1,920,146
23,0,3,460,437
901,0,4,391,-510
922,0,5,199,-723
186,0,5,837,651
716,0,1,821,105
285,0,4,811,526
383,0,1,493,110
961,0,6,174,-787
818,0,6,22,-796
981,0,2,788,-193
400,0,4,880,480
250,0,4,836,586
640,0,2,935,295
821,0,4,265,-556
689,3,0,681,-8
200,0,4,686,486
434,0,1,303,-131
853,0,5,240,-613
141,1,0,81,-60
227,0,1,372,145
787,0,3,483,-304
934,0,6,101,-833
139,0,5,879,740
705,0,2,915,210
140,0,4,674,534
233,0,2,446,213
785,1,0,856,71
678,0,2,471,-207
806,0,4,271,-535
822,0,1,961,139
216,0,1,97,-119
78,0,3,436,358
474,0,2,752,278
545,0,1,693,148
35,0,5,760,725
729,1,0,652,-77
127,3,0,133,6
167,2,0,185,18
353,0,3,709,356
563,0,1,461,-102
973,0,4,464,-509
826,1,0,885,59
879,0,3,564,-315
706,2,0,664,-42
163,0,3,497,334
344,1,0,440,96
993,0,6,120,-873
460,0,4,934,474
41,0,5,789,748
395,0,3,833,438
216,0,3,653,437
520,0,1,419,-101
435,2,0,469,34
823,1,0,922,99
515,0,2,360,-155
22,0,3,468,446
826,0,6,6,-820
276,1,0,208,-68
186,0,5,847,661
868,0,1,762,-106
809,0,1,690,-119
846,0,1,731,-115
851,3,0,852,1
802,0,2,585,-217
729,2,0,770,41
237,0,1,356,119
36,0,4,604,568
354,0,5,960,606
761,0,2,592,-169
955,0,6,180,-775
374,0,1,504,130
67,0,3,403,336
768,0,2,554,-214
11,0,7,988,977
431,0,3,5,-426
668,0,3,252,-416
470,2,0,514,44
860,0,2,684,-176
142,0,4,640,498
454,0,4,953,499
417,0,2,661,244
871,0,6,70,-801
926,0,6,103,-823
375,0,2,223,-152
824,0,2,535,-289
526,0,2,725,199
840,0,5,211,-629
975,0,2,708,-267
213,0,5,826,613
456,1,0,528,72
227,3,0,236,9
2,0,2,238,236
328,2,0,317,-11
303,0,3,649,346
479,0,2,652,173
439,0,2,244,-195
186,0,2,22,-164
235,0,2,453,218
919,0,2,628,-291
17,0,2,210,193
174,0,4,726,552
92,0,5,727,635
508,0,3,134,-374
726,0,3,394,-332
283,0,4,761,478
476,0,2,695,219
432,0,2,243,-189
110,0,5,826,716
701,0,2,889,188
578,0,2,360,-218
727,0,5,124,-603
825,2,0,856,31
292,0,2,12,-280
687,0,5,78,-609
830,0,4,287,-543
9,0,4,608,599
603,0,1,711,108
960,0,6,191,-769
220,0,2,455,235
373,0,3,813,440
205,0,4,678,473
836,0,4,276,-560
723,0,2,541,-182
768,0,1,660,-108
775,2,0,787,12
452,0,3,824,372
545,0,3,213,-332
146,1,0,213,67
247,1,0,161,-86
513,0,3,815,302
778,0,5,85,-693
121,0,3,506,385
841,2,0,862,21
199,0,5,818,619
758,0,1,657,-101
853,1,0,798,-55
922,1,0,977,55
46,0,5,673,627
452,0,1,555,103
45,1,0,117,72
790,0,3,347,-443
297,0,2,97,-200
805,0,5,141,-664
238,1,0,300,62
348,0,3,733,385
640,0,2,834,194
121,1,0,200,79
259,0,2,442,183
1000,0,2,746,-254
872,0,3,433,-439
